verdict,claim,date,source,reviewer,language,raw_verdict,raw_verdict_en
misinformation,"Uma suposta citação de Albert Einstein diz que o físico temia o ""dia ......",2019-03-28T19:22:09Z,,poligrafo.sapo.pt,pt,Pimenta na Língua,Pepper on the tongue
misinformation,İskoçya'dan Türkiye'ye uzanan 12 bin yıllık gizemli tüneller bulunduğu iddiası,2017-06-03T00:00:00Z,Biliyomuydun,teyit.org,tr,Karma,Karma
misinformation,Une analyse anti-Macron de Natacha Polony,2020-06-09T00:00:00Z,Sources multiples,factuel.afp.com,fr,Attention,Attention
misinformation,W Polsce zmarło 1670 osób zaszczepionych przeciwko Covid-19,2021-04-15T00:00:00Z,,sprawdzam.afp.com,pl,Brakujący kontekst,Missing context
misinformation,مدينة البدقية على شكل قلب,,,verify-sy.com,ar,Mostly false,Mostly false
misinformation,"The Trump administration ""took fugitives off the list"" of people prohibited from purchasing guns.",2019-04-21T00:00:00Z,Kamala Harris,nytimes.com,en,This is misleading.,This is misleading.
misinformation,"Producenci szczepień chcą wprowadzić ""medyczne posłuszeństwo"" przez programy szczepień.",2021-05-11T00:00:00Z,Post na Facebooku,demagog.org.pl,pl,"Fałsz. Producenci szczepień nie chcą wprowadzić ""medycznego posłuszeństwa"". Szczepionki tworzy się po to, by chronić ludzi przed zachorowaniami na różne choroby.","Falsehood. Vaccine makers are reluctant to introduce ""medical obedience."" Vaccines are designed to protect people from getting sick with various diseases."
misinformation,Video shows oxygen is being wasted in Congress ruled states,2021-05-18T16:16:33Z,"Facebook,Twitter",thequint.com,en,False,False
other,Zaia esagera sul Veneto «prima regione» per vaccini,2020-05-18T13:32:39Z,Luca Zaia,pagellapolitica.it,it,Nì,nì
misinformation,Lula diz negros são escravos e vagabundos,,Mensagem em redes sociais,boatos.org,pt,Falso,Fake
misinformation,Ivermectina é eficaz contra a covid-19,2021-04-26T00:00:00Z,Bibo Nunes,bol.uol.com.br,pt,Mentira,Lie
misinformation,"The risk of dying after a Covid vaccination is 1 in 31,000.",2021-05-05T00:00:00Z,Instagram user,fullfact.org,en,"False. It is unclear where this figure comes from, but it is far too high. In the UK, around 50 deaths have been possibly linked to one of the vaccines, an incidence of 1 in 470,000.","False. It is unclear where this figure comes from, but it is far too high. In the UK, around 50 deaths have been possibly linked to one of the vaccines, an incidence of 1 in 470,000."
misinformation,कांग्रेस ने मोदी सरकार पर निशाना साधने के लिए ‘COVID टूलकिट’ बनाई,2016-06-20T00:00:00Z,"संबित पात्रा, स्मृति ईरानी, डॉ. हर्ष वर्धन, अमित मालवीय",altnews.in,hi,False,False
misinformation,"Several photos show evidence of the Three Gorges Dam ""leaking"" in April or May, 2021.",2021-05-02T00:00:00Z,A social media post,aap.com.au,en,False,False
misinformation,‘SBI బ్యాంకులో స్టేట్ గవర్నమెంట్ శాలరీ ప్యాకేజీ (SGSP) కింద ఖాతా ఉన్న ఉద్యోగులకు కరోనా వల్ల మరణిస్తే ఇరవై లక్షల భీమా వస్తుంది’,2021-05-15T00:00:00Z,SOCIAL MEDIA POST,factly.in,te,MISLEADING,MISLEADING
misinformation,Mob in West Bengal beats up a man,2016-06-20T00:00:00Z,Social media users,altnews.in,en,False,False
misinformation,Banks will be closed every Saturday from June 1.,2019-04-17T10:00:00Z,Social media messages.,scroll.in,en,False,False
misinformation,Ce jeune tchadien qui se fait pointer une arme sur sa poitrine par un soldat français dans son pays parce qu'il a osé manifester contre le régime déspotique à la solde de la France,2021-05-01T00:00:00Z,Steve Bicot,observers.france24.com,fr,Faux,False
misinformation,Video muestra a palestinos llevan a un falso “muerto por covid” y corren por alerta de bombardeo,2021-05-14T00:00:00Z,Varias fuentes,factual.afp.com,es,Falso,Fake
misinformation,Images show rhinos and elephants with their horns and tusks dyed bright pink to deter poachers.,2021-05-13T00:00:00Z,Social media posts,aap.com.au,en,Altered Photo/Video,Altered Photo/Video
misinformation,Immagini dei bambini liberati dai tunnel (DUMB/S) Chi ha questo preziosissimo compito spesso deve affrontare insonnia e traumi per cercare di sopportare la vista di questo scempio.,2021-04-12T00:00:00Z,Valentina Laineri Milazzo,butac.it,it,"Le foto mostrare sono decontestualizzate, ma bastava fare ricerca per immagini per accorgersi che non hanno nulla a che fare con quanto raccontato...","The photos shown are taken out of context, but it was enough to search by images to realize that they have nothing to do with what is being told ..."
